LOCATION,SUBJECT,TIME,NIVEAU_ECRIT
AUS,BOY,2000,513.0
AUS,BOY,2003,506.0
AUS,BOY,2006,495.0
AUS,BOY,2009,496.0
AUS,BOY,2012,495.09
AUS,BOY,2015,487.0
AUS,BOY,2018,487.0
AUS,GIRL,2000,546.0
AUS,GIRL,2003,545.0
AUS,GIRL,2006,532.0
AUS,GIRL,2009,533.0
AUS,GIRL,2012,529.542
AUS,GIRL,2015,519.0
AUS,GIRL,2018,519.0
AUT,BOY,2000,476.0
AUT,BOY,2003,467.0
AUT,BOY,2006,468.0
AUT,BOY,2012,471.093
AUT,BOY,2015,475.0
AUT,BOY,2018,471.0
AUT,GIRL,2000,509.0
AUT,GIRL,2003,514.0
AUT,GIRL,2006,513.0
AUT,GIRL,2012,508.021
AUT,GIRL,2015,495.0
AUT,GIRL,2018,499.0
BEL,BOY,2000,492.0
BEL,BOY,2003,489.0
BEL,BOY,2006,482.0
BEL,BOY,2009,493.0
BEL,BOY,2012,492.755
BEL,BOY,2015,491.0
BEL,BOY,2018,482.0
BEL,GIRL,2000,525.0
BEL,GIRL,2003,526.0
BEL,GIRL,2006,522.0
BEL,GIRL,2009,520.0
BEL,GIRL,2012,524.602
BEL,GIRL,2015,507.0
BEL,GIRL,2018,504.0
CAN,BOY,2000,519.0
CAN,BOY,2003,514.0
CAN,BOY,2006,511.0
CAN,BOY,2009,507.0
CAN,BOY,2012,505.512
CAN,BOY,2015,514.0
CAN,BOY,2018,506.0
CAN,GIRL,2000,551.0
CAN,GIRL,2003,546.0
CAN,GIRL,2006,543.0
CAN,GIRL,2009,542.0
CAN,GIRL,2012,540.657
CAN,GIRL,2015,540.0
CAN,GIRL,2018,535.0
CZE,BOY,2000,473.0
CZE,BOY,2003,473.0
CZE,BOY,2006,463.0
CZE,BOY,2009,456.0
CZE,BOY,2012,473.983
CZE,BOY,2015,475.0
CZE,BOY,2018,474.0
CZE,GIRL,2000,510.0
CZE,GIRL,2003,504.0
CZE,GIRL,2006,509.0
CZE,GIRL,2009,504.0
CZE,GIRL,2012,512.79
CZE,GIRL,2015,501.0
CZE,GIRL,2018,507.0
DNK,BOY,2000,485.0
DNK,BOY,2003,479.0
DNK,BOY,2006,480.0
DNK,BOY,2009,480.0
DNK,BOY,2012,480.89
DNK,BOY,2015,489.0
DNK,BOY,2018,486.0
DNK,GIRL,2000,510.0
DNK,GIRL,2003,505.0
DNK,GIRL,2006,509.0
DNK,GIRL,2009,509.0
DNK,GIRL,2012,511.529
DNK,GIRL,2015,511.0
DNK,GIRL,2018,516.0
FIN,BOY,2000,520.0
FIN,BOY,2003,521.0
FIN,BOY,2006,521.0
FIN,BOY,2009,508.0
FIN,BOY,2012,494.006
FIN,BOY,2015,504.0
FIN,BOY,2018,495.0
FIN,GIRL,2000,571.0
FIN,GIRL,2003,565.0
FIN,GIRL,2006,572.0
FIN,GIRL,2009,563.0
FIN,GIRL,2012,555.708
FIN,GIRL,2015,551.0
FIN,GIRL,2018,546.0
FRA,BOY,2000,490.0
FRA,BOY,2003,476.0
FRA,BOY,2006,470.0
FRA,BOY,2009,475.0
FRA,BOY,2012,482.972
FRA,BOY,2015,485.0
FRA,BOY,2018,480.0
FRA,GIRL,2000,519.0
FRA,GIRL,2003,514.0
FRA,GIRL,2006,505.0
FRA,GIRL,2009,515.0
FRA,GIRL,2012,526.765
FRA,GIRL,2015,514.0
FRA,GIRL,2018,505.0
DEU,BOY,2000,468.0
DEU,BOY,2003,471.0
DEU,BOY,2006,475.0
DEU,BOY,2009,478.0
DEU,BOY,2012,486.0
