LOCATION,SUBJECT,TIME,NIVEAU_MATH
AUS,BOY,2018,494.0
AUS,GIRL,2018,488.0
AUT,BOY,2018,505.0
AUT,GIRL,2018,492.0
BEL,BOY,2018,514.0
BEL,GIRL,2018,502.0
CAN,BOY,2018,514.0
CAN,GIRL,2018,510.0
CZE,BOY,2018,501.0
CZE,GIRL,2018,498.0
DNK,BOY,2018,511.0
DNK,GIRL,2018,507.0
FIN,BOY,2018,504.0
FIN,GIRL,2018,510.0
FRA,BOY,2018,499.0
FRA,GIRL,2018,492.0
DEU,BOY,2018,503.0
DEU,GIRL,2018,496.0
GRC,BOY,2018,452.0
GRC,GIRL,2018,451.0
HUN,BOY,2018,486.0
HUN,GIRL,2018,477.0
ISL,BOY,2018,490.0
ISL,GIRL,2018,500.0
IRL,BOY,2018,503.0
IRL,GIRL,2018,497.0
ITA,BOY,2018,494.0
ITA,GIRL,2018,479.0
JPN,BOY,2018,532.0
JPN,GIRL,2018,522.0
KOR,BOY,2018,528.0
KOR,GIRL,2018,524.0
LUX,BOY,2018,487.0
LUX,GIRL,2018,480.0
MEX,BOY,2018,415.0
MEX,GIRL,2018,403.0
NLD,BOY,2018,520.0
NLD,GIRL,2018,519.0
NZL,BOY,2018,499.0
NZL,GIRL,2018,490.0
NOR,BOY,2018,497.0
NOR,GIRL,2018,505.0
POL,BOY,2018,516.0
POL,GIRL,2018,515.0
PRT,BOY,2018,497.0
PRT,GIRL,2018,488.0
SVK,BOY,2018,488.0
SVK,GIRL,2018,484.0
ESP,BOY,2018,485.0
ESP,GIRL,2018,478.0
SWE,BOY,2018,502.0
SWE,GIRL,2018,503.0
CHE,BOY,2018,519.0
CHE,GIRL,2018,512.0
TUR,BOY,2018,456.0
TUR,GIRL,2018,451.0
GBR,BOY,2018,508.0
GBR,GIRL,2018,496.0
USA,BOY,2018,482.0
USA,GIRL,2018,474.0
BRA,BOY,2018,388.0
BRA,GIRL,2018,379.0
CHL,BOY,2018,421.0
CHL,GIRL,2018,414.0
EST,BOY,2018,528.0
EST,GIRL,2018,519.0
IDN,BOY,2018,374.0
IDN,GIRL,2018,383.0
ISR,BOY,2018,458.0
ISR,GIRL,2018,467.0
RUS,BOY,2018,490.0
RUS,GIRL,2018,485.0
SVN,BOY,2018,509.0
SVN,GIRL,2018,509.0
LVA,BOY,2018,500.0
LVA,GIRL,2018,493.0
AUS,TOT,2018,491.0
AUT,TOT,2018,499.0
BEL,TOT,2018,508.0
CAN,TOT,2018,512.0
CZE,TOT,2018,499.0
DNK,TOT,2018,509.0
FIN,TOT,2018,507.0
FRA,TOT,2018,495.0
DEU,TOT,2018,500.0
GRC,TOT,2018,451.0
HUN,TOT,2018,481.0
ISL,TOT,2018,495.0
IRL,TOT,2018,500.0
ITA,TOT,2018,487.0
JPN,TOT,2018,527.0
KOR,TOT,2018,526.0
LUX,TOT,2018,483.0
MEX,TOT,2018,409.0
NLD,TOT,2018,519.0
NZL,TOT,2018,494.0
NOR,TOT,2018,501.0
POL,TOT,2018,516.0
PRT,TOT,2018,492.0
SVK,TOT,2018,486.0
ESP,TOT,2018,481.0
SWE,TOT,2018,502.0
CHE,TOT,2018,515.0
TUR,TOT,2018,454.0
GBR,TOT,2018,502.0
USA,TOT,2018,478.0
BRA,TOT,2018,384.0
CHL,TOT,2018,417.0
EST,TOT,2018,523.0
IDN,TOT,2018,379.0
ISR,TOT,2018,463.0
LVA,TOT,2018,496.0
RUS,TOT,2018,488.0
SVN,TOT,2018,509.0
COL,TOT,2018,391.0
COL,BOY,2018,401.0
COL,GIRL,2018,381.0
CRI,TOT,2018,402.0
CRI,BOY,2018,411.0
CRI,GIRL,2018,394.0
LTU,TOT,2018,481.0
LTU,BOY,2018,480.0
LTU,GIRL,2018,482.0
