LOCATION,SUBJECT,TIME,NIVEAU_MATH
AUS,BOY,2003,527.0
AUS,BOY,2006,527.0
AUS,BOY,2009,519.0
AUS,BOY,2012,510.115
AUS,BOY,2015,497.0
AUS,GIRL,2003,522.0
AUS,GIRL,2006,513.0
AUS,GIRL,2009,509.0
AUS,GIRL,2012,497.821
AUS,GIRL,2015,491.0
AUT,BOY,2003,509.0
AUT,BOY,2006,517.0
AUT,BOY,2012,516.682
AUT,BOY,2015,510.0
AUT,GIRL,2003,502.0
AUT,GIRL,2006,494.0
AUT,GIRL,2012,494.462
AUT,GIRL,2015,483.0
BEL,BOY,2003,533.0
BEL,BOY,2006,524.0
BEL,BOY,2009,526.0
BEL,BOY,2012,520.081
BEL,BOY,2015,514.0
BEL,GIRL,2003,525.0
BEL,GIRL,2006,517.0
BEL,GIRL,2009,504.0
BEL,GIRL,2012,508.935
BEL,GIRL,2015,500.0
CAN,BOY,2003,541.0
CAN,BOY,2006,534.0
CAN,BOY,2009,533.0
CAN,BOY,2012,523.154
CAN,BOY,2015,520.0
CAN,GIRL,2003,530.0
CAN,GIRL,2006,520.0
CAN,GIRL,2009,521.0
CAN,GIRL,2012,513.022
CAN,GIRL,2015,511.0
CZE,BOY,2003,524.0
CZE,BOY,2006,514.0
CZE,BOY,2009,495.0
CZE,BOY,2012,504.71
CZE,BOY,2015,496.0
CZE,GIRL,2003,509.0
CZE,GIRL,2006,504.0
CZE,GIRL,2009,490.0
CZE,GIRL,2012,492.903
CZE,GIRL,2015,489.0
DNK,BOY,2003,523.0
DNK,BOY,2006,518.0
DNK,BOY,2009,511.0
DNK,BOY,2012,506.953
DNK,BOY,2015,516.0
DNK,GIRL,2003,506.0
DNK,GIRL,2006,508.0
DNK,GIRL,2009,495.0
DNK,GIRL,2012,493.029
DNK,GIRL,2015,506.0
FIN,BOY,2003,548.0
FIN,BOY,2006,554.0
FIN,BOY,2009,542.0
FIN,BOY,2012,517.391
FIN,BOY,2015,507.0
FIN,GIRL,2003,541.0
FIN,GIRL,2006,543.0
FIN,GIRL,2009,539.0
FIN,GIRL,2012,520.185
FIN,GIRL,2015,515.0
FRA,BOY,2003,515.0
FRA,BOY,2006,499.0
FRA,BOY,2009,505.0
FRA,BOY,2012,499.355
FRA,BOY,2015,496.0
FRA,GIRL,2003,507.0
FRA,GIRL,2006,492.0
FRA,GIRL,2009,489.0
FRA,GIRL,2012,490.853
FRA,GIRL,2015,490.0
DEU,BOY,2003,508.0
DEU,BOY,2006,513.0
DEU,BOY,2009,520.0
DEU,BOY,2012,520.19
DEU,BOY,2015,514.0
DEU,GIRL,2003,499.0
DEU,GIRL,2006,494.0
DEU,GIRL,2009,505.0
DEU,GIRL,2012,506.625
DEU,GIRL,2015,498.0
GRC,BOY,2003,455.0
GRC,BOY,2006,462.0
GRC,BOY,2009,473.0
GRC,BOY,2012,457.039
GRC,BOY,2015,454.0
GRC,GIRL,2003,436.0
GRC,GIRL,2006,457.0
GRC,GIRL,2009,459.0
GRC,GIRL,2012,448.984
GRC,GIRL,2015,454.0
HUN,BOY,2003,494.0
HUN,BOY,2006,496.0
HUN,BOY,2009,496.0
HUN,BOY,2012,481.749
HUN,BOY,2015,481.0
HUN,GIRL,2003,486.0
HUN,GIRL,2006,486.0
HUN,GIRL,2009,484.0
HUN,GIRL,2012,472.664
HUN,GIRL,2015,473.0
ISL,BOY,2003,508.0
ISL,BOY,2006,503.0
ISL,BOY,2009,508.0
ISL,BOY,2012,489.72
ISL,BOY,2015,487.0
ISL,GIRL,2003,523.0
ISL,GIRL,2006,508.0
ISL,GIRL,2009,505.0
ISL,GIRL,2012,495.947
ISL,GIRL,2015,489.0
IRL,BOY,2003,510.0
