LOCATION,SUBJECT,TIME,NIVEAU_SCIENCE
AUS,BOY,2006,527.0
AUS,BOY,2009,527.0
AUS,BOY,2012,523.728
AUS,BOY,2015,511.0
AUS,BOY,2018,504.0
AUS,GIRL,2006,527.0
AUS,GIRL,2009,528.0
AUS,GIRL,2012,519.124
AUS,GIRL,2015,509.0
AUS,GIRL,2018,502.0
AUT,BOY,2006,515.0
AUT,BOY,2012,510.108
AUT,BOY,2015,504.0
AUT,BOY,2018,491.0
AUT,GIRL,2006,507.0
AUT,GIRL,2012,501.479
AUT,GIRL,2015,486.0
AUT,GIRL,2018,489.0
BEL,BOY,2006,511.0
BEL,BOY,2009,510.0
BEL,BOY,2012,506.82
BEL,BOY,2015,508.0
BEL,BOY,2018,501.0
BEL,GIRL,2006,510.0
BEL,GIRL,2009,503.0
BEL,GIRL,2012,502.9
BEL,GIRL,2015,496.0
BEL,GIRL,2018,496.0
CAN,BOY,2006,536.0
CAN,BOY,2009,531.0
CAN,BOY,2012,526.875
CAN,BOY,2015,528.0
CAN,BOY,2018,516.0
CAN,GIRL,2006,532.0
CAN,GIRL,2009,526.0
CAN,GIRL,2012,524.053
CAN,GIRL,2015,527.0
CAN,GIRL,2018,520.0
CZE,BOY,2006,515.0
CZE,BOY,2009,498.0
CZE,BOY,2012,508.721
CZE,BOY,2015,497.0
CZE,BOY,2018,496.0
CZE,GIRL,2006,510.0
CZE,GIRL,2009,503.0
CZE,GIRL,2012,507.855
CZE,GIRL,2015,488.0
CZE,GIRL,2018,498.0
DNK,BOY,2006,500.0
DNK,BOY,2009,505.0
DNK,BOY,2012,503.533
DNK,BOY,2015,505.0
DNK,BOY,2018,492.0
DNK,GIRL,2006,491.0
DNK,GIRL,2009,494.0
DNK,GIRL,2012,493.363
DNK,GIRL,2015,499.0
DNK,GIRL,2018,494.0
FIN,BOY,2006,562.0
FIN,BOY,2009,546.0
FIN,BOY,2012,537.436
FIN,BOY,2015,521.0
FIN,BOY,2018,510.0
FIN,GIRL,2006,565.0
FIN,GIRL,2009,562.0
FIN,GIRL,2012,553.893
FIN,GIRL,2015,541.0
FIN,GIRL,2018,534.0
FRA,BOY,2006,497.0
FRA,BOY,2009,500.0
FRA,BOY,2012,497.716
FRA,BOY,2015,496.0
FRA,BOY,2018,493.0
FRA,GIRL,2006,494.0
FRA,GIRL,2009,497.0
FRA,GIRL,2012,500.157
FRA,GIRL,2015,494.0
FRA,GIRL,2018,493.0
DEU,BOY,2006,519.0
DEU,BOY,2009,523.0
DEU,BOY,2012,523.86
DEU,BOY,2015,514.0
DEU,BOY,2018,502.0
DEU,GIRL,2006,512.0
DEU,GIRL,2009,518.0
DEU,GIRL,2012,524.391
DEU,GIRL,2015,504.0
DEU,GIRL,2018,504.0
GRC,BOY,2006,468.0
GRC,BOY,2009,465.0
GRC,BOY,2012,460.02
GRC,BOY,2015,451.0
GRC,BOY,2018,446.0
GRC,GIRL,2006,479.0
GRC,GIRL,2009,475.0
GRC,GIRL,2012,473.298
GRC,GIRL,2015,459.0
GRC,GIRL,2018,457.0
HUN,BOY,2006,507.0
HUN,BOY,2009,503.0
HUN,BOY,2012,495.913
HUN,BOY,2015,478.0
HUN,BOY,2018,484.0
HUN,GIRL,2006,501.0
HUN,GIRL,2009,503.0
HUN,GIRL,2012,492.803
HUN,GIRL,2015,475.0
HUN,GIRL,2018,478.0
ISL,BOY,2006,488.0
ISL,BOY,2009,496.0
ISL,BOY,2012,476.676
ISL,BOY,2015,472.0
ISL,BOY,2018,471.0
ISL,GIRL,2006,494.0
ISL,GIRL,2009,495.0
ISL,GIRL,2012,479.669
ISL,GIRL,2015,475.0
ISL,GIRL,2018,479.0
IRL,BOY,2006,508.0
IRL,BOY,2009,507.0
IRL,BOY,2012,523.942
IRL,BOY,2015,508.0
IRL,BOY,2018,495.0
IRL,GIRL,2006,509.0
IRL,GIRL,2009,509.0
IRL,GIRL,2012,520.0
IRL,GIRL,2015,497.0
IRL,GIRL,2018,497.0
ITA,BOY,2006,477.0
ITA,BOY,2009,488.0
ITA,BOY,2012,494.897
ITA,BOY,2015,489.0
ITA,BOY,2018,470.0
ITA,GIRL,2006,474.0
ITA,GIRL,2009,490.0
ITA,GIRL,2012,492.087
ITA,GIRL,2015,472.0
ITA,GIRL,2018,466.0
JPN,BOY,2006,533.0
JPN,BOY,2009,534.0
JPN,BOY,2012,551.947
JPN,BOY,2015,545.0
JPN,BOY,2018,531.0
JPN,GIRL,2006,530.0
JPN,GIRL,2009,545.0
JPN,GIRL,2012,540.959
JPN,GIRL,2015,532.0
JPN,GIRL,2018,528.0
KOR,BOY,2006,521.0
KOR,BOY,2009,537.0
KOR,BOY,2012,539.408
KOR,BOY,2015,511.0
KOR,BOY,2018,521.0
KOR,GIRL,2006,523.0
KOR,GIRL,2009,539.0
KOR,GIRL,2012,535.93
KOR,GIRL,2015,521.0
KOR,GIRL,2018,517.0
LUX,BOY,2006,491.0
LUX,BOY,2009,487.0
LUX,BOY,2012,498.715
LUX,BOY,2015,487.0
LUX,BOY,2018,475.0
LUX,GIRL,2006,482.0
LUX,GIRL,2009,480.0
LUX,GIRL,2012,483.484
LUX,GIRL,2015,479.0
LUX,GIRL,2018,479.0
MEX,BOY,2006,413.0
MEX,BOY,2009,419.0
MEX,BOY,2012,418.128
MEX,BOY,2015,420.0
MEX,BOY,2018,424.0
MEX,GIRL,2006,406.0
MEX,GIRL,2009,413.0
MEX,GIRL,2012,411.836
MEX,GIRL,2015,412.0
MEX,GIRL,2018,415.0
NLD,BOY,2006,528.0
NLD,BOY,2009,524.0
NLD,BOY,2012,523.622
NLD,BOY,2015,511.0
NLD,BOY,2018,499.0
NLD,GIRL,2006,521.0
NLD,GIRL,2009,520.0
NLD,GIRL,2012,520.415
NLD,GIRL,2015,507.0
NLD,GIRL,2018,508.0
NZL,BOY,2006,528.0
NZL,BOY,2009,529.0
NZL,BOY,2012,517.875
NZL,BOY,2015,516.0
NZL,BOY,2018,509.0
NZL,GIRL,2006,532.0
NZL,GIRL,2009,535.0
NZL,GIRL,2012,513.297
NZL,GIRL,2015,511.0
NZL,GIRL,2018,508.0
NOR,BOY,2006,484.0
NOR,BOY,2009,498.0
NOR,BOY,2012,492.792
NOR,BOY,2015,500.0
NOR,BOY,2018,485.0
NOR,GIRL,2006,489.0
NOR,GIRL,2009,502.0
NOR,GIRL,2012,496.346
NOR,GIRL,2015,497.0
NOR,GIRL,2018,496.0
POL,BOY,2006,500.0
POL,BOY,2009,505.0
POL,BOY,2012,524.421
POL,BOY,2015,504.0
POL,BOY,2018,511.0
POL,GIRL,2006,496.0
POL,GIRL,2009,511.0
POL,GIRL,2012,527.149
POL,GIRL,2015,498.0
POL,GIRL,2018,511.0
PRT,BOY,2006,477.0
PRT,BOY,2009,491.0
PRT,BOY,2012,488.346
PRT,BOY,2015,506.0
PRT,BOY,2018,494.0
PRT,GIRL,2006,472.0
PRT,GIRL,2009,495.0
PRT,GIRL,2012,490.224
PRT,GIRL,2015,496.0
PRT,GIRL,2018,489.0
SVK,BOY,2006,491.0
SVK,BOY,2009,490.0
SVK,BOY,2012,474.658
SVK,BOY,2015,460.0
SVK,BOY,2018,461.0
SVK,GIRL,2006,485.0
SVK,GIRL,2009,491.0
SVK,GIRL,2012,467.385
SVK,GIRL,2015,461.0
SVK,GIRL,2018,467.0
ESP,BOY,2006,491.0
ESP,BOY,2009,492.0
ESP,BOY,2012,500.119
ESP,BOY,2015,496.0
ESP,BOY,2018,484.0
ESP,GIRL,2006,486.0
ESP,GIRL,2009,485.0
ESP,GIRL,2012,492.658
ESP,GIRL,2015,489.0
ESP,GIRL,2018,482.0
SWE,BOY,2006,504.0
SWE,BOY,2009,493.0
SWE,BOY,2012,481.151
SWE,BOY,2015,491.0
SWE,BOY,2018,496.0
SWE,GIRL,2006,503.0
SWE,GIRL,2009,497.0
SWE,GIRL,2012,488.513
SWE,GIRL,2015,496.0
SWE,GIRL,2018,503.0
CHE,BOY,2006,514.0
CHE,BOY,2009,520.0
CHE,BOY,2012,518.255
CHE,BOY,2015,508.0
CHE,BOY,2018,495.0
CHE,GIRL,2006,509.0
CHE,GIRL,2009,512.0
CHE,GIRL,2012,512.331
CHE,GIRL,2015,502.0
CHE,GIRL,2018,495.0
TUR,BOY,2006,418.0
TUR,BOY,2009,448.0
TUR,BOY,2012,458.316
